GameName, UnitSales, AllTimeSales
'Pokemon Red & Blue', 31050000, 1271000000
'Pokemon Yellow', 14640000, 454000000
'Pokemon Gold & Silver', 23730000, 1016000000
'Pokemon Crystal', 6390000, 211000000
'Pokemon Ruby & Sapphire', 16220000, 689000000
'Pokemon Emerald', 7060000, 256000000
'Pokemon FireRed & LeafGreen', 12000000, 640000000
'Pokemon Diamond & Pearl', 17670000, 778000000
'Pokémon Platinum', 7600000, 372000000
'Pokémon HeartGold & SoulSilver', 12720000, 763000000
'Pokémon Black & White', 15640000, 759000000
'Pokémon Black 2 & White 2', 8520000, 435000000
'Pokémon X & Y', 16720000, 953000000
'Pokémon Omega Ruby & Alpha Sapphire', 14600000, 703000000
'Pokémon Sun & Moon', 16320000, 879000000
'Pokémon Ultra Sun & Moon', 9190000, 368000000
'Pokémon Lets Go', 15070000, 904000000
'Pokémon Sword & Shield', 26170000, 1570000000
'Pokémon Legends: Arceus', 15000000, 900000000
'Pokémon Scarlet & Violet', 24360000, 1461000000
